Operateur;x;y;2G;3G;4G
20801;-4.442;48.428;0;1;0
20801;-4.356;47.824;1;1;1
20820;-4.429;48.354;1;1;1
20820;-4.378;47.993;1;1;1
20810;-4.435;48.405;1;1;1
20801;-4.435;48.405;1;1;0
20820;-4.351;47.809;1;1;1
20810;-4.351;47.809;1;1;1
20815;-4.427;48.356;0;1;1
20810;-4.427;48.356;1;1;1
20801;-4.345;47.813;0;1;1
20820;-4.444;48.53;1;1;1
20801;-4.444;48.531;1;1;0
20801;-4.438;48.498;0;1;0
20801;-4.421;48.399;1;1;0
20801;-4.424;48.422;0;1;0
20820;-4.416;48.407;1;1;1
20801;-4.415;48.411;1;1;0
20801;-4.417;48.438;1;1;1
20820;-4.415;48.438;1;1;1
20810;-4.415;48.438;1;1;1
20815;-4.415;48.438;0;1;0
20820;-4.422;48.504;1;1;1
20810;-4.422;48.504;1;1;1
20801;-4.422;48.504;1;1;1
20801;-4.406;48.397;1;1;1
20801;-4.343;47.96;1;1;0
20810;-4.353;48.082;1;1;1
20820;-4.353;48.082;1;1;1
20815;-4.353;48.082;0;1;1
20801;-4.401;48.434;1;1;1
20801;-4.334;47.998;1;1;0
20820;-4.308;47.816;1;1;1
20810;-4.308;47.816;1;1;1
20820;-4.387;48.409;1;1;1
20810;-4.387;48.409;1;1;1
20801;-4.387;48.409;1;1;0
20801;-4.34;48.089;1;1;1
20810;-4.386;48.421;1;1;1
20815;-4.386;48.421;0;1;1
20820;-4.386;48.421;1;1;1
20801;-4.335;48.08;1;1;1
20801;-4.374;48.375;1;1;1
20820;-4.328;48.093;0;1;0
20810;-4.346;48.227;1;1;0
20820;-4.346;48.227;1;1;1
20815;-4.346;48.227;0;1;1
20801;-4.346;48.227;1;1;1
20820;-4.327;48.091;1;1;1
20810;-4.326;48.097;1;1;0
20801;-4.326;48.097;1;1;1
20815;-4.308;47.962;0;1;0
20810;-4.307;47.961;1;1;1
20801;-4.324;48.086;0;1;0
20810;-4.365;48.385;1;1;1
20801;-4.365;48.385;1;0;0
20820;-4.365;48.385;1;1;0
20820;-4.283;47.795;1;1;1
20810;-4.283;47.795;1;1;1
20801;-4.283;47.795;0;1;0
20810;-4.358;48.37;1;1;1
20820;-4.358;48.37;1;1;1
20815;-4.357;48.37;0;1;1
20820;-4.293;47.917;1;1;1
20815;-4.293;47.917;0;1;1
20810;-4.293;47.917;1;1;1
20820;-4.282;47.84;1;1;1
20810;-4.282;47.84;1;1;1
20820;-4.377;48.531;1;1;0
20801;-4.276;47.806;1;1;1
20810;-4.282;47.853;1;1;0
20801;-4.279;47.833;1;1;0
20820;-4.27;47.805;1;1;0
20815;-4.27;47.805;0;1;1
20801;-4.359;48.458;1;1;1
20801;-4.299;48.085;1;1;1
20810;-4.298;48.085;1;1;0
20820;-4.298;48.085;1;1;1
20810;-4.359;48.536;1;1;0
20820;-4.268;47.898;1;1;1
20815;-4.268;47.898;0;1;1
20810;-4.268;47.898;1;1;1
20801;-4.269;47.913;1;1;0
20810;-4.278;47.988;1;1;0
20801;-4.37;48.653;1;1;0
20820;-4.369;48.653;1;1;1
20810;-4.369;48.653;1;1;1
20820;-4.33;48.469;1;1;1
20810;-4.325;48.444;1;1;0
20820;-4.323;48.43;1;1;0
20801;-4.242;47.86;0;1;1
20820;-4.335;48.573;1;1;1
20801;-4.335;48.572;1;1;1
20815;-4.309;48.391;0;1;1
20810;-4.308;48.389;1;1;0
20801;-4.307;48.382;1;1;1
20810;-4.332;48.571;1;0;0
20810;-4.226;47.804;1;1;0
20801;-4.226;47.804;1;1;0
20801;-4.247;47.995;1;1;0
20810;-4.253;48.042;1;1;1
20815;-4.326;48.578;0;1;1
20801;-4.326;48.579;1;1;0
20801;-4.287;48.329;1;1;0
20820;-4.287;48.329;1;1;0
20815;-4.287;48.329;0;1;1
20810;-4.224;47.877;1;1;1
20801;-4.224;47.877;1;1;1
20820;-4.224;47.877;1;1;1
20801;-4.222;47.863;1;1;1
20801;-4.318;48.562;1;1;0
20820;-4.245;48.035;1;1;0
20820;-4.303;48.534;1;1;0
20810;-4.302;48.534;1;1;0
20815;-4.302;48.533;0;1;1
20801;-4.302;48.533;1;1;0
20820;-4.23;48.02;1;1;0
20815;-4.23;48.021;0;1;1
20820;-4.275;48.371;1;1;1
20820;-4.197;47.833;1;1;1
20810;-4.197;47.833;1;1;1
20801;-4.191;47.81;0;1;0
20810;-4.219;48.031;1;1;0
20810;-4.275;48.453;1;1;0
20801;-4.269;48.426;1;1;1
20810;-4.292;48.603;1;1;0
20815;-4.291;48.603;0;1;0
20801;-4.265;48.444;1;1;0
20820;-4.265;48.462;1;1;0
20801;-4.218;48.129;1;1;1
20801;-4.264;48.465;1;1;0
20820;-4.218;48.129;1;1;1
20815;-4.218;48.129;0;1;1
20820;-4.206;48.047;1;1;0
20810;-4.262;48.459;1;1;1
20815;-4.262;48.459;0;1;1
20815;-4.246;48.363;0;1;1
20810;-4.246;48.364;1;1;0
20801;-4.246;48.364;1;1;1
20815;-4.171;47.826;0;1;1
20810;-4.193;47.983;1;1;1
20801;-4.193;47.984;1;1;0
20820;-4.192;47.983;1;1;1
20815;-4.192;47.983;0;1;1
20820;-4.171;47.826;1;1;1
20801;-4.171;47.826;1;1;1
20810;-4.259;48.483;1;1;1
20801;-4.259;48.483;1;0;0
20820;-4.259;48.483;1;1;1
20815;-4.259;48.483;0;1;0
20820;-4.183;47.945;1;1;1
20810;-4.183;47.945;1;1;1
20810;-4.166;47.882;1;1;1
20801;-4.166;47.882;1;1;1
20815;-4.166;47.882;0;1;1
20820;-4.166;47.882;1;1;1
20820;-4.226;48.329;1;0;0
20810;-4.226;48.329;1;1;1
20820;-4.19;48.09;1;1;1
20815;-4.19;48.09;0;1;1
20810;-4.235;48.431;1;0;0
20820;-4.235;48.444;1;1;0
20815;-4.235;48.444;0;1;0
20801;-4.235;48.444;1;1;1
20801;-4.166;47.959;1;1;0
20801;-4.179;48.066;1;1;0
20801;-4.212;48.317;1;1;0
20801;-4.147;47.943;1;1;0
20820;-4.196;48.307;1;1;0
20815;-4.196;48.307;0;1;1
20815;-4.133;47.876;0;1;1
20801;-4.133;47.876;1;1;1
20820;-4.145;47.966;1;1;1
20815;-4.145;47.966;0;1;1
20810;-4.144;47.966;1;1;1
20801;-4.133;47.972;1;1;0
20815;-4.219;48.62;0;1;0
20801;-4.219;48.62;1;1;1
20820;-4.133;47.996;1;1;1
20810;-4.133;47.996;1;1;1
20815;-4.133;47.996;0;1;0
20801;-4.133;47.996;1;1;1
20820;-4.163;48.219;1;1;0
20820;-4.129;47.984;1;1;1
20810;-4.129;47.984;1;1;1
20801;-4.132;48.027;1;1;0
20801;-4.125;47.985;1;1;1
20810;-4.109;47.877;1;1;1
20820;-4.109;47.877;1;1;1
20801;-4.109;47.877;1;1;1
20801;-4.147;48.185;0;1;0
20820;-4.136;48.119;1;1;1
20810;-4.136;48.119;1;1;1
20815;-4.136;48.119;0;1;1
20801;-4.115;47.99;1;1;1
20820;-4.153;48.273;1;1;1
20810;-4.153;48.273;1;1;1
20801;-4.153;48.273;1;1;0
20810;-4.114;47.994;1;0;0
20815;-4.151;48.274;0;1;1
20820;-4.196;48.619;1;1;1
20810;-4.196;48.619;1;1;1
20801;-4.18;48.501;1;0;0
20801;-4.109;47.996;1;1;1
20820;-4.109;47.995;1;1;1
20801;-4.11;48.007;1;1;1
20801;-4.105;47.99;1;1;0
20820;-4.103;47.981;1;1;1
20810;-4.102;47.981;1;1;1
20801;-4.102;47.981;1;1;1
20810;-4.103;47.992;1;1;1
20820;-4.103;47.992;1;1;1
20801;-4.099;47.995;1;1;1
20801;-4.094;47.967;1;0;0
20801;-4.173;48.544;1;1;0
20810;-4.1;48.009;1;0;0
20820;-4.172;48.544;1;1;0
20810;-4.172;48.544;1;1;0
20815;-4.172;48.544;0;1;0
20815;-4.125;48.199;0;1;1
20820;-4.099;48.008;1;1;1
20810;-4.099;48.008;1;1;1
20801;-4.094;47.974;0;0;0
20820;-4.093;47.974;1;1;1
20820;-4.187;48.661;1;1;1
20820;-4.124;48.199;1;1;1
20801;-4.187;48.661;1;1;1
20810;-4.094;47.986;1;1;1
20810;-4.123;48.199;1;1;1
20815;-4.186;48.661;0;1;1
20820;-4.094;47.986;1;1;1
20801;-4.092;47.987;1;1;0
20801;-4.094;48.006;1;1;0
20815;-4.091;47.987;0;1;1
20810;-4.082;47.925;1;1;1
20815;-4.082;47.924;0;1;1
20820;-4.081;47.925;1;1;1
20820;-4.088;47.987;1;1;1
20810;-4.088;47.987;1;1;1
20801;-4.087;47.987;1;0;0
20801;-4.088;48.014;1;1;0
20815;-4.086;48.018;0;1;1
20801;-4.08;47.997;0;1;0
20810;-4.147;48.489;1;0;0
20820;-4.077;47.974;1;1;1
20801;-4.077;47.974;1;1;0
20810;-4.076;47.974;1;1;1
20815;-4.076;47.974;0;1;0
20801;-4.117;48.277;1;1;0
20820;-4.076;47.977;1;0;0
20810;-4.078;47.997;1;1;1
20820;-4.078;47.997;1;1;1
20815;-4.078;47.997;0;1;1
20801;-4.077;48.006;1;1;1
20820;-4.11;48.255;1;1;1
20810;-4.11;48.255;1;1;1
20801;-4.072;47.982;1;1;1
20810;-4.072;47.981;1;1;1
20820;-4.072;47.981;1;1;1
20801;-4.145;48.522;0;0;1
20810;-4.077;48.039;1;1;1
20820;-4.077;48.039;1;1;1
20820;-4.058;47.911;1;1;1
20801;-4.069;47.994;1;1;1
20810;-4.058;47.911;1;1;1
20801;-4.058;47.911;1;1;0
20801;-4.1;48.229;1;1;0
20810;-4.157;48.657;1;1;1
20820;-4.156;48.657;1;1;1
20801;-4.093;48.201;1;1;1
20820;-4.132;48.501;1;1;0
20810;-4.132;48.501;0;1;0
20815;-4.132;48.501;0;1;0
20801;-4.132;48.501;0;1;0
20801;-4.069;48.04;1;1;0
20815;-4.068;48.04;0;1;1
20801;-4.084;48.16;1;1;0
20801;-4.058;47.983;1;1;1
20810;-4.092;48.264;0;1;0
20801;-4.048;47.984;1;1;1
20820;-4.129;48.583;1;1;1
20810;-4.129;48.583;1;1;1
20801;-4.049;48.005;1;1;0
20820;-4.049;48.005;1;1;1
20815;-4.049;48.005;0;1;1
20810;-4.048;48.005;1;1;1
20801;-4.046;47.998;1;1;0
20815;-4.08;48.256;0;1;1
20801;-4.078;48.253;1;1;1
20801;-4.103;48.449;1;1;1
20820;-4.068;48.209;1;1;1
20810;-4.068;48.209;1;1;1
20820;-4.024;47.89;1;1;1
20815;-4.024;47.89;0;1;1
20810;-4.024;47.89;1;1;1
20820;-4.118;48.6;1;1;1
20810;-4.118;48.6;1;1;1
20815;-4.117;48.6;0;1;1
20810;-4.032;47.982;1;1;1
20820;-4.031;47.983;1;1;1
20815;-4.059;48.212;0;1;1
20801;-4.059;48.212;1;1;1
20801;-4.017;47.892;1;1;1
20820;-4.084;48.399;1;1;0
20815;-4.083;48.399;0;1;1
20801;-4.034;48.029;0;1;0
20810;-4.02;47.941;1;1;1
20801;-4.02;47.941;1;1;0
20820;-4.02;47.941;1;1;1
20820;-4.008;47.863;1;1;1
20815;-4.008;47.863;0;1;1
20801;-4.008;47.863;1;1;1
20810;-4.008;47.863;1;1;1
20820;-4.023;47.984;1;0;0
20801;-4.037;48.09;1;1;0
20801;-4.019;47.98;1;1;0
20815;-4.039;48.153;0;1;1
20820;-4.018;48.009;1;1;1
20815;-4.018;48.01;0;1;1
20810;-4.018;48.009;1;1;1
20820;-4.085;48.516;1;0;0
20801;-4.105;48.669;1;1;1
20815;-4.104;48.67;0;1;1
20801;-3.999;47.884;0;1;0
20810;-4.104;48.67;1;1;1
20820;-4.104;48.67;1;1;1
20820;-4.082;48.517;1;1;1
20810;-4.082;48.517;1;1;1
