Operateur;x;y;2G-1;3G-1;4G-1;2G-2;3G-2;4G-2
20801;1.536712;43.676586;1;1;1;0;1;0
20820;1.561504;50.066329;1;1;0;1;1;1
20820;1.647488;47.298886;1;1;0;1;1;1
20801;1.586532;50.51959;1;1;1;0;1;1
20801;1.827074;44.744469;1;1;0;0;0;0
20820;1.743299;50.939311;1;1;0;1;1;1
20820;1.868395;46.169783;1;0;0;1;1;0
20820;1.881762;46.166457;1;1;1;1;1;0
20801;1.95579;43.321351;1;1;1;0;1;0
20820;1.827686;49.718785;1;1;0;1;1;1
20810;1.837872;49.965435;1;1;0;0;0;1
20801;1.913333;47.900328;1;0;0;0;1;0
20801;2.015167;42.534867;1;0;0;0;1;1
20820;1.922618;48.616005;1;1;0;1;1;1
20801;2.012753;47.604421;1;1;0;1;0;0
20801;2.055739;48.789121;0;0;0;1;1;1
20820;2.042711;49.887272;1;1;1;1;1;0
20801;2.148626;43.926654;1;1;1;0;1;0
20801;2.083108;48.76074;1;1;1;0;1;0
20820;2.170582;43.942789;1;1;1;1;1;0
20820;2.096808;48.784347;1;1;1;1;0;0
20820;2.085274;49.821384;1;0;0;1;1;1
20801;2.102087;49.029591;1;1;1;0;0;0
20801;2.14674;48.528349;0;0;0;0;1;0
20801;2.156453;48.784208;1;1;1;0;0;0
20801;2.240279;43.628038;1;1;0;0;1;0
20820;2.231381;44.318052;1;1;0;1;1;1
20801;2.166457;48.992036;0;0;0;1;1;1
20801;2.180329;48.863746;0;0;1;1;1;1
20810;2.230539;48.89105;1;1;0;0;1;1
20820;2.219714;49.645826;1;1;0;1;1;1
20801;2.240184;48.898324;0;1;0;0;0;0
20801;2.246644;48.846896;1;1;1;0;0;0
20801;2.246644;48.846896;1;1;1;0;0;0
20820;2.250933;48.888814;0;1;0;1;1;1
20801;2.32171;43.715429;1;1;0;0;0;0
20801;2.271436;48.855305;0;1;0;1;1;1
20801;2.264696;49.866476;0;1;1;0;1;0
20801;2.302399;48.761818;0;1;1;1;0;0
20801;2.308658;48.867568;1;1;1;0;0;0
20801;2.308658;48.867568;1;1;1;0;0;0
20820;2.32583;48.846864;1;1;1;1;0;0
20820;2.32583;48.846864;1;1;1;1;0;0
20801;2.329139;48.813138;1;1;1;0;0;0
20801;2.329139;48.813138;1;1;1;0;0;0
20820;2.336917;48.871865;1;0;0;1;1;1
20801;2.337182;48.87354;1;1;1;0;1;0
20820;2.340004;48.831645;0;1;1;1;1;1
20820;2.345481;48.826108;1;1;1;1;1;0
20801;2.350634;48.8488;1;1;1;0;0;0
20801;2.352349;48.843431;0;0;0;0;1;0
20820;2.353602;48.857774;1;0;0;1;1;1
20801;2.35489;48.847294;1;1;0;1;1;1
20820;2.356602;48.831178;1;0;0;1;1;0
20820;2.358012;48.875982;1;0;0;1;0;1
20801;2.397901;47.076644;1;1;1;1;0;0
20801;2.399014;48.977302;1;1;1;0;0;1
20820;2.401218;48.817919;1;1;1;1;1;0
20801;2.401091;48.891854;1;1;1;0;0;0
20820;2.395931;49.501034;1;1;0;1;1;1
20801;2.429316;48.624944;1;1;1;0;0;0
20801;2.455396;48.633945;1;1;1;0;0;0
20801;2.504101;48.850452;0;1;0;1;1;0
20820;2.558339;44.340645;1;1;0;1;1;1
20801;2.561805;49.551321;0;0;1;1;1;1
20820;2.659307;43.2838;1;1;0;1;1;1
20820;2.73755;47.657095;1;1;0;1;1;1
20801;2.791329;50.508675;0;0;1;1;1;1
20801;3.036678;50.485876;1;1;1;0;1;0
20801;3.037777;43.021661;1;1;1;0;1;0
20801;3.048017;50.338055;1;1;0;0;1;0
20801;3.061668;43.011856;1;1;1;0;1;0
20820;3.062968;44.039211;1;1;0;1;1;1
20801;3.089879;43.105894;1;1;1;0;1;0
20801;3.093594;43.110793;1;1;1;0;1;0
20801;3.098474;43.749163;0;1;0;0;1;1
20801;3.110021;43.118018;1;1;1;0;1;0
20801;3.155546;46.864995;1;1;0;0;1;0
20801;3.164394;43.159297;1;1;1;0;1;0
20801;3.181667;43.170269;1;1;1;0;1;0
20801;3.18806;43.182518;1;1;1;0;1;0
20801;3.232079;43.336272;1;1;1;0;1;0
20801;3.296327;49.844936;1;1;1;0;1;0
20801;3.332222;43.307485;1;1;0;0;1;0
20820;3.502425;49.682507;1;1;0;1;1;1
20820;3.560056;49.868016;1;1;0;1;1;1
20801;3.685553;43.40193;1;1;1;0;1;0
20820;3.750354;46.530946;1;1;0;1;1;1
20820;3.810514;50.194793;1;1;1;1;1;0
20820;3.795196;46.49501;1;1;0;1;1;1
20820;3.8181;47.913594;1;0;0;1;1;1
20820;3.869908;49.525105;1;1;0;1;1;1
20801;3.846537;43.645996;1;1;1;0;1;0
20801;3.877365;43.610982;1;1;1;0;1;0
20801;3.890831;43.60811;1;1;0;1;0;0
20820;4.0005;48.394793;1;1;0;1;1;1
20820;3.927587;43.58294;1;1;1;1;0;0
20801;3.928836;43.582831;0;0;0;1;1;0
20820;3.986377;46.908057;1;1;1;1;1;0
20801;3.932198;43.528445;1;1;1;0;1;0
20801;3.969777;44.073421;1;1;0;0;1;0
20801;4.076284;48.296017;1;1;1;0;1;0
20801;4.080919;48.289262;1;1;1;0;1;0
20820;4.06101;47.125979;1;1;0;1;1;1
20820;4.079617;44.122629;1;0;0;0;1;0
20820;4.163604;48.227774;1;1;0;1;1;1
20801;4.091411;44.123196;1;1;1;0;1;0
20801;4.083912;43.558637;1;1;1;0;1;0
20801;4.138607;43.515219;1;1;1;0;1;0
20801;4.151738;43.526976;1;1;1;0;1;0
20820;4.354995;46.170527;1;1;0;1;1;1
20820;4.433887;48.179338;1;1;0;1;1;1
20820;4.389386;45.439652;1;0;1;1;1;0
20801;4.35389;43.826293;1;1;1;0;1;0
20820;4.448043;46.717479;1;1;0;1;1;1
20820;4.418392;45.351111;1;1;0;1;1;1
20820;4.550267;46.737137;1;1;1;1;1;0
20820;4.62297;46.556703;1;0;0;1;1;1
20820;4.671246;45.355827;1;1;0;1;1;1
20820;4.682683;45.418072;1;1;0;1;1;1
20801;4.639758;43.897853;1;0;0;0;0;1
20820;4.657507;43.803037;1;1;0;1;1;1
20820;4.668631;43.85844;1;1;0;1;1;1
20820;4.764656;46.785621;1;1;0;1;1;1
20820;4.682221;43.889033;1;1;0;1;1;1
20820;4.705828;44.153887;1;1;0;1;1;1
20820;4.819235;46.921088;1;1;0;1;1;1
20801;4.832036;46.148273;1;0;0;1;1;0
20801;4.85151;45.760991;1;1;1;0;1;0
20801;4.85329;45.784543;1;1;0;0;0;0
20801;4.957375;48.638253;1;1;1;0;1;0
20820;4.855652;45.761715;1;1;0;1;1;1
20801;4.863729;45.755088;1;1;1;0;0;0
20820;4.80594;43.94727;1;1;0;1;0;0
20801;4.891016;44.929578;1;1;1;0;0;0
20820;4.958829;44.325909;1;1;0;1;1;1
20801;4.944574;43.87615;1;1;0;1;1;1
20820;5.073408;45.714891;1;1;0;1;1;1
20820;5.075896;45.665058;1;0;0;1;1;1
20820;5.134674;46.931284;1;1;1;1;1;0
20820;5.095375;45.605389;1;1;1;1;0;0
20820;5.154516;46.273529;1;1;0;1;1;1
20820;5.085552;44.273604;1;1;0;1;1;1
20820;5.055149;43.403233;1;1;1;1;0;0
20801;5.151676;45.623883;1;1;1;1;0;0
20820;5.146254;45.479983;1;1;0;1;1;1
20801;5.331631;47.865526;0;0;0;0;1;1
20820;5.332111;47.40189;1;1;1;1;1;0
20801;5.30468;46.039101;1;1;0;0;0;0
20801;5.455895;49.117188;1;1;0;0;0;0
20801;5.233916;43.431237;1;1;1;0;0;0
20820;5.277775;44.173608;1;1;0;1;1;1
20801;5.36413;44.759441;0;0;0;1;1;0
20801;5.357468;43.482857;1;1;1;1;1;0
20801;5.393877;43.271676;0;0;0;1;1;0
20801;5.395882;43.269832;0;0;0;0;1;1
20801;5.395882;43.269832;0;0;0;0;1;1
20801;5.395882;43.269832;0;0;0;0;1;1
20801;5.395882;43.269832;0;0;0;0;1;1
20801;5.395882;43.269832;0;0;0;0;1;1
20801;5.395882;43.269832;0;0;0;0;1;1
20801;5.426484;43.527132;1;1;1;0;1;0
20801;5.446032;43.535317;1;1;1;0;0;0
20801;5.446032;43.535317;1;1;1;0;0;0
20801;5.446032;43.535317;1;1;1;0;0;0
20820;5.737972;48.343631;1;0;0;1;1;1
20801;5.797824;43.251968;1;1;0;0;1;0
20820;6.070807;47.42746;1;1;0;1;1;1
20820;6.213329;47.251668;1;1;0;1;1;1
20820;6.165211;45.923929;1;1;0;1;1;1
20801;6.065992;43.604007;1;1;0;0;1;0
20820;6.202537;45.859827;1;1;0;1;1;1
20820;6.344003;47.842035;1;1;0;1;1;1
20820;6.3758;47.450586;1;0;0;1;1;0
20820;6.146849;43.520276;1;1;0;1;1;1
20820;6.291195;45.454018;1;1;0;1;1;1
20820;6.455605;47.885084;1;1;0;1;1;1
20820;6.360827;45.423057;1;1;0;1;1;1
20801;6.420551;45.90555;1;0;0;1;1;1
20801;6.426916;45.949758;1;1;1;1;0;0
20820;6.304149;43.546746;1;1;0;1;1;1
20801;6.425824;45.16361;1;1;1;1;0;0
20820;6.473344;45.778561;1;1;0;1;1;1
20801;6.47418;45.172551;1;1;1;0;0;0
20820;6.423587;43.833254;1;1;1;1;1;0
20801;6.522491;45.314996;1;1;1;1;0;0
20820;6.420681;43.574033;1;1;0;1;1;1
20801;6.59919;46.396929;1;1;1;0;0;0
20820;6.476735;43.724942;1;1;0;1;1;1
20801;6.635298;46.026817;1;1;1;1;0;0
20801;6.829993;48.405924;0;1;1;1;1;0
20801;6.698141;46.005473;0;0;0;1;1;1
20801;6.647544;45.202207;1;0;0;1;1;0
20801;6.529682;43.254606;1;1;1;0;0;0
20801;6.696685;44.598141;0;1;0;0;1;1
20820;6.904169;45.273057;1;1;0;1;1;1
20801;7.017628;43.550527;1;1;1;0;1;0
20801;7.017628;43.550527;1;1;1;0;1;0
20801;7.019881;43.55139;1;1;1;0;1;0
20801;7.020841;43.552363;1;1;1;0;1;0
20820;7.023705;43.55223;1;0;0;1;1;0
20801;7.025262;43.550055;1;0;0;0;0;0
20801;7.031379;43.54844;1;1;1;0;1;0
20801;7.116507;43.618844;1;1;1;0;0;0
20801;7.126798;43.664792;0;1;0;1;0;0
20801;7.135661;43.708292;0;0;0;1;1;1
20820;7.557061;47.590736;1;1;0;1;1;1
20801;7.307915;43.701307;0;0;0;1;1;1
20801;7.756231;48.585493;1;1;1;0;1;1
20801;7.481347;43.752484;1;1;0;0;0;0
20801;8.923688;42.631972;1;1;1;1;0;0
